# file...... output/1a_IEEE_123_feeder_0_swing_node.csv
# date...... Fri Aug 30 10:38:42 2024
# user...... sartai
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+1.61703e+06+860420j
2013-08-28 00:01:00 PST,+139749+0j,+1.65288e+06+876667j
2013-08-28 00:02:00 PST,+139749+0j,+1.63519e+06+867843j
2013-08-28 00:03:00 PST,+139749+0j,+1.62335e+06+861570j
2013-08-28 00:04:00 PST,+139749+0j,+1.62594e+06+862146j
2013-08-28 00:05:00 PST,+139749+0j,+1.62988e+06+863288j
2013-08-28 00:06:00 PST,+139737+0j,+1.62274e+06+861359j
2013-08-28 00:07:00 PST,+139737+0j,+1.61429e+06+858911j
2013-08-28 00:08:00 PST,+139737+0j,+1.60452e+06+855916j
2013-08-28 00:09:00 PST,+139737+0j,+1.59607e+06+853473j
2013-08-28 00:10:00 PST,+139737+0j,+1.58892e+06+851601j
2013-08-28 00:11:00 PST,+139785+0j,+1.59405e+06+853238j
2013-08-28 00:12:00 PST,+139785+0j,+1.59738e+06+854018j
2013-08-28 00:13:00 PST,+139785+0j,+1.60201e+06+855357j
2013-08-28 00:14:00 PST,+139785+0j,+1.60629e+06+856491j
2013-08-28 00:15:00 PST,+139785+0j,+1.61091e+06+857831j
2013-08-28 00:16:00 PST,+139706+0j,+1.60928e+06+857465j
2013-08-28 00:17:00 PST,+139706+0j,+1.60672e+06+856725j
2013-08-28 00:18:00 PST,+139706+0j,+1.60214e+06+855030j
2013-08-28 00:19:00 PST,+139706+0j,+1.59958e+06+854293j
2013-08-28 00:20:00 PST,+139706+0j,+1.59905e+06+854513j
2013-08-28 00:21:00 PST,+139717+0j,+1.5954e+06+853495j
2013-08-28 00:22:00 PST,+139717+0j,+1.58946e+06+851414j
2013-08-28 00:23:00 PST,+139717+0j,+1.58553e+06+850281j
2013-08-28 00:24:00 PST,+139717+0j,+1.58359e+06+850097j
2013-08-28 00:25:00 PST,+139717+0j,+1.57966e+06+848961j
2013-08-28 00:26:00 PST,+139742+0j,+1.58034e+06+848868j
2013-08-28 00:27:00 PST,+139742+0j,+1.58302e+06+849645j
2013-08-28 00:28:00 PST,+139742+0j,+1.58771e+06+851365j
2013-08-28 00:29:00 PST,+139742+0j,+1.59041e+06+852144j
2013-08-28 00:30:00 PST,+139742+0j,+1.59109e+06+851967j
2013-08-28 00:31:00 PST,+139627+0j,+1.5882e+06+850766j
2013-08-28 00:32:00 PST,+139627+0j,+1.58903e+06+851365j
2013-08-28 00:33:00 PST,+139627+0j,+1.58784e+06+851021j
2013-08-28 00:34:00 PST,+139627+0j,+1.58465e+06+849731j
2013-08-28 00:35:00 PST,+139627+0j,+1.58347e+06+849390j
2013-08-28 00:36:00 PST,+139639+0j,+1.58569e+06+850440j
2013-08-28 00:37:00 PST,+139639+0j,+1.58584e+06+850484j
2013-08-28 00:38:00 PST,+139639+0j,+1.584e+06+849582j
2013-08-28 00:39:00 PST,+139639+0j,+1.58416e+06+849627j
2013-08-28 00:40:00 PST,+139639+0j,+1.5863e+06+850619j
2013-08-28 00:41:00 PST,+139640+0j,+1.57983e+06+848751j
2013-08-28 00:42:00 PST,+139640+0j,+1.57054e+06+845709j
2013-08-28 00:43:00 PST,+139640+0j,+1.56323e+06+843602j
2013-08-28 00:44:00 PST,+139640+0j,+1.55785e+06+842436j
2013-08-28 00:45:00 PST,+139640+0j,+1.55052e+06+840325j
2013-08-28 00:46:00 PST,+139655+0j,+1.54843e+06+839410j
2013-08-28 00:47:00 PST,+139655+0j,+1.549e+06+839574j
2013-08-28 00:48:00 PST,+139655+0j,+1.5515e+06+840661j
2013-08-28 00:49:00 PST,+139655+0j,+1.55207e+06+840825j
2013-08-28 00:50:00 PST,+139655+0j,+1.55071e+06+840062j
2013-08-28 00:51:00 PST,+139664+0j,+1.55146e+06+840310j
2013-08-28 00:52:00 PST,+139664+0j,+1.554e+06+841411j
2013-08-28 00:53:00 PST,+139664+0j,+1.55461e+06+841585j
2013-08-28 00:54:00 PST,+139664+0j,+1.55328e+06+840832j
2013-08-28 00:55:00 PST,+139664+0j,+1.55389e+06+841006j
2013-08-28 00:56:00 PST,+139663+0j,+1.55628e+06+842063j
2013-08-28 00:57:00 PST,+139663+0j,+1.55674e+06+842193j
2013-08-28 00:58:00 PST,+139663+0j,+1.55525e+06+841395j
2013-08-28 00:59:00 PST,+139663+0j,+1.55571e+06+841526j
2013-08-28 01:00:00 PST,+139663+0j,+1.5581e+06+842585j
2013-08-28 01:01:00 PST,+139606+0j,+1.55648e+06+841934j
2013-08-28 01:02:00 PST,+139606+0j,+1.5537e+06+840758j
2013-08-28 01:03:00 PST,+139606+0j,+1.55285e+06+840514j
2013-08-28 01:04:00 PST,+139606+0j,+1.55393e+06+841197j
2013-08-28 01:05:00 PST,+139606+0j,+1.55308e+06+840952j
2013-08-28 01:06:00 PST,+139608+0j,+1.55233e+06+840372j
2013-08-28 01:07:00 PST,+139608+0j,+1.55391e+06+840827j
2013-08-28 01:08:00 PST,+139608+0
